Name,Link,College,Description,Considered on General Application?,Award,Deadline
Dr. Leonhard E. Baak Memorial Scholarship for German Studies Majors ,https://colorado.academicworks.com/opportunities/22203 ,College of Arts & Sciences Germanic and Slavic Languages and Literatures, The Leonhard Baak Memorial Scholarship is awarded to students who meet the following criteria:  Current undergraduate majoring in German. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline.  Financial need and/or academic excellence will be considered when determining scholarship awards. Dr. Baak received his PhD in German from the University of Colorado Boulder in 1953 and served as a professor of German at St. Olaf College (Northfield MN) College of Emporia (Emporia KS) and Morningside College (Sioux City IA). Students may receive up to $8000 per year for up to four years. Must remain a German Studies major in good academic standing to be eligible for renewal. Students studying abroad may also apply for additional funds through the Leonhard Baak Memorial Scholarship for Study Abroad by indicating on the application form that they will study abroad.The Leonhard Baak Memorial Scholarship is awarded to students who meet the following criteria: Current undergraduate majoring in German. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline. Financial need and/or academic excellence will be considered when determining scholarship awards.Dr. Baak received his PhD in German from the University of Colorado Boulder in 1953 and served as a professor of German at St. Olaf College (Northfield MN) College of Emporia (Emporia KS) and Morningside College (Sioux City IA).Students may receive up to $8000 per year for up to four years. Must remain a German Studies major in good academic standing to be eligible for renewal.Students studying abroad may also apply for additional funds through the Leonhard Baak Memorial Scholarship for Study Abroad by indicating on the application form that they will study abroad. ,False,Varies ,03/07/2024
Il Circolo Italiano di Denver Endowed Scholarship (Fall & Spring) ,https://colorado.academicworks.com/opportunities/23691 ,College of Arts & Sciences, The Il Circolo Italiano di Denver Endowed Scholarship (Fall & Spring) is awarded to students who meet the following criteria:  Current undergraduate enrolled at the University of Colorado Boulder. Planning to study abroad in Italy in the upcoming academic year. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline. The Il Circolo Italiano di Denver Endowed Scholarship (Fall & Spring) is awarded to students who meet the following criteria: Current undergraduate enrolled at the University of Colorado Boulder. Planning to study abroad in Italy in the upcoming academic year. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline.  ,False,minimumof$1000 ,03/14/2024
A Queer Endeavor Kelley Therese Wylder Anderson Scholarship ,https://colorado.academicworks.com/opportunities/21908 ,School of Education, This scholarship was created in memory of Kelley Therese Wylder Anderson. At 26 Anderson lost her battle with bipolar disorder and alcohol addiction but she did not leave before making an extraordinary impact. Anderson worked with campus and community organizations like Safehouse Progressive Alliance for Nonviolence Moving to End Sexual Assault Youth Global Leaders A Queer Endeavor and INVST Community Studies. This scholarship supports students who share her spirit passion and commitments to justice and education. This scholarship will be used to provide graduate and/or undergraduate scholarship awards for students enrolled in the School who plan to pursue research and/or teaching focused on education equity justice or anti-oppression.This scholarship was created in memory of Kelley Therese Wylder Anderson. At 26 Anderson lost her battle with bipolar disorder and alcohol addiction but she did not leave before making an extraordinary impact. Anderson worked with campus and community organizations like Safehouse Progressive Alliance for Nonviolence Moving to End Sexual Assault Youth Global Leaders A Queer Endeavor and INVST Community Studies. This scholarship supports students who share her spirit passion and commitments to justice and education. This scholarship will be used to provide graduate and/or undergraduate scholarship awards for students enrolled in the School who plan to pursue research and/or teaching focused on education equity justice or anti-oppression. ,True,$1000 ,03/15/2024
A. David Hill Endowed Scholarship in Geography ,https://colorado.academicworks.com/opportunities/21729 ,College of Arts & Sciences, The A. David Hill Scholarship is awarded to students in the Department of Geography who meet the following criteria:  Full-time senior for the academic year at the time of the award. Majoring in Geography. Minimum major GPA of 3.0 or higher in Geography. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline.  A scholarship award of $1500 will be split equally between the fall and spring semesters. The award is intended to support underrepresented students including those students from geographic areas and socioeconomic backgrounds who are historically underrepresented in the field of Geography and/or students who have faced unusual adversity.The A. David Hill Scholarship is awarded to students in the Department of Geography who meet the following criteria: Full-time senior for the academic year at the time of the award. Majoring in Geography. Minimum major GPA of 3.0 or higher in Geography. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline. A scholarship award of $1500 will be split equally between the fall and spring semesters. The award is intended to support underrepresented students including those students from geographic areas and socioeconomic backgrounds who are historically underrepresented in the field of Geography and/or students who have faced unusual adversity. ,False,$0.00 ,03/15/2024
AAH Scholarship: Diversity Equity & Inclusion Endowed Scholarship Fund ,https://colorado.academicworks.com/opportunities/21988 ,College of Arts & Sciences, This scholarship will be awarded to students in the Department of Art & Art History. Scholarship recipients will be selected according to merit and financial need. Scholarships will be awarded for one academic year and are renewable if the student remains in good academic standing (a minimum cumulative 2.0 GPA ) and continues to demonstrate financial need.This scholarship will be awarded to students in the Department of Art & Art History. Scholarship recipients will be selected according to merit and financial need. Scholarships will be awarded for one academic year and are renewable if the student remains in good academic standing (a minimum cumulative 2.0 GPA ) and continues to demonstrate financial need. ,True,$1200.00 ,03/15/2024
Abel Family Endowed Scholarship ,https://colorado.academicworks.com/opportunities/22036 ,None, The Abel Family Endowed Scholarship will provide full tuition for an in-state student with demonstrated financial need. There will be one recipient selected to receive the scholarship for up to five years total or until they receive their bachelor’s degree whichever comes first. The recipient can major in their field of choice in any college on campus and they must only remain in good academic standing. To be eligible a student must be an entering freshman who graduated from a Colorado high school and demonstrate financial need. The Abels want to provide aspiring young adults with the same educational opportunities that their own children will have without the burden of worrying about tuition or paying off future student loans. The family wants to provide a stellar education for a student who has the desire and ambition to live their life to their full potential and believes that an education at CU Boulder will help them get there. They hope this student will exhibit passion and energy during their college experience.The Abel Family Endowed Scholarship will provide full tuition for an in-state student with demonstrated financial need. There will be one recipient selected to receive the scholarship for up to five years total or until they receive their bachelor’s degree whichever comes first. The recipient can major in their field of choice in any college on campus and they must only remain in good academic standing. To be eligible a student must be an entering freshman who graduated from a Colorado high school and demonstrate financial need.The Abels want to provide aspiring young adults with the same educational opportunities that their own children will have without the burden of worrying about tuition or paying off future student loans. The family wants to provide a stellar education for a student who has the desire and ambition to live their life to their full potential and believes that an education at CU Boulder will help them get there. They hope this student will exhibit passion and energy during their college experience. ,True,$16000 ,03/15/2024
Accenture Scholarship Fund ,https://colorado.academicworks.com/opportunities/21943 ,Leeds School of Business, The Accenture Scholarship Fund is a one-year scholarship that is given to an academically successful rising Junior who is specializing in Finance or Information Management.and has demonstrated financial need. In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing. All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Continue students: Please be sure to fill out the Leeds and CU Boulder Scholarship Application between November 1st and the March deadline. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-questionThe Accenture Scholarship Fund is a one-year scholarship that is given to an academically successful rising Junior who is specializing in Finance or Information Management.and has demonstrated financial need. In order to receive your scholarship funds you must remain a full-time student in the Leeds School of Business and maintain good academic standing.All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Continue students: Please be sure to fill out the Leeds and CU Boulder Scholarship Application between November 1st and the March deadline. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements.If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question ,True,$1500-$2000 ,03/15/2024
ACS-Hach Land Grant Scholarship ,https://colorado.academicworks.com/opportunities/21548 ,School of Education, Deeply devoted to chemistry Clifford and Kitty Hach established the Hach Scientific Foundation in 1982 to encourage students to pursue chemistry. In 2009 the American Chemical Society (ACS) began administering the Hach scholarships with the same spirit and tradition Clifford and Kitty inspired. Eligible students must be a chemistry biochemistry or chemical engineering major and be enrolled in a secondary science teacher education program. Students must have a minimum GPA of 3.0. The scholarship is renewable provided the student remains in good standing with the teacher education program and the approved major.Deeply devoted to chemistry Clifford and Kitty Hach established the Hach Scientific Foundation in 1982 to encourage students to pursue chemistry. In 2009 the American Chemical Society (ACS) began administering the Hach scholarships with the same spirit and tradition Clifford and Kitty inspired. Eligible students must be a chemistry biochemistry or chemical engineering major and be enrolled in a secondary science teacher education program. Students must have a minimum GPA of 3.0. The scholarship is renewable provided the student remains in good standing with the teacher education program and the approved major. ,True,$10000.00 ,03/15/2024
Adele V. Leonhardy Memorial Scholarship in Mathematics ,https://colorado.academicworks.com/opportunities/22156 ,College of Arts & Sciences, Are you planning a teaching career in mathematics? The Adele V. Leonhardy Scholarship provides support to outstanding students who meet the following criteria:  Current undergraduate or graduate students. Major in the Department of Mathematics who are preparing to teach mathematics in their professional career. Are you planning a teaching career in mathematics? The Adele V. Leonhardy Scholarship provides support to outstanding students who meet the following criteria: Current undergraduate or graduate students. Major in the Department of Mathematics who are preparing to teach mathematics in their professional career.  ,True,Varies ,03/15/2024
AIA Colorado North Scholarship ,https://colorado.academicworks.com/opportunities/23644 ,Program in Environmental Design, The Architectural Education Foundation (AEF) of the American Institute of Architects (AIA) Colorado’s North Chapter offers a scholarship to provide continuing support for a rising 2ndyear or higher student in the Environmental Design Program at the University of Colorado Boulder who has declared architecture as their focus study. This scholarship is for a student who demonstrates academic merit and financial need. This award intends to support historically under-represented groups within the architecture profession and enhance the future diversity of architects who practice in Colorado.  Underrepresented students include those students from geographic areas and socioeconomic backgrounds who are historically underrepresented in the field of architecture and/or students who have faced unusual adversity. Preference will be given to students who graduated from a high school or obtained a GED within the United States who can demonstrate financial need and/or are ineligible to receive federal or state financial aid. Applicants with an active Deferred Action for Childhood Arrivals (DACA) or Advancing Students for a Stronger Economy Tomorrow (ASSET) status are eligible to apply. First generation college students African American students Asian American students Latino American students or Native American students are encouraged to apply for this scholarship although race will not be a determining factor in the decision.The Architectural Education Foundation (AEF) of the American Institute of Architects (AIA) Colorado’s North Chapter offers a scholarship to provide continuing support for a rising 2ndyear or higher student in the Environmental Design Program at the University of Colorado Boulder who has declared architecture as their focus study. This scholarship is for a student who demonstrates academic merit and financial need. This award intends to support historically under-represented groups within the architecture profession and enhance the future diversity of architects who practice in Colorado.  Underrepresented students include those students from geographic areas and socioeconomic backgrounds who are historically underrepresented in the field of architecture and/or students who have faced unusual adversity. Preference will be given to students who graduated from a high school or obtained a GED within the United States who can demonstrate financial need and/or are ineligible to receive federal or state financial aid. Applicants with an active Deferred Action for Childhood Arrivals (DACA) or Advancing Students for a Stronger Economy Tomorrow (ASSET) status are eligible to apply. First generation college students African American students Asian American students Latino American students or Native American students are encouraged to apply for this scholarship although race will not be a determining factor in the decision. ,True,$1500.00 ,03/15/2024
Air Force ROTC Alumni Association Scholarship ,https://colorado.academicworks.com/opportunities/24784 ,Alumni Association, The Air Force ROTC Alumni Association Scholarship is for is for rising sophomore students at the University of Colorado Boulder who are Detachment 105 cadets who are not on USAF scholarship. Students applying for this scholarship should have a minimum 2.5 GPA and be in AS200 (traditionally sophomore year) before they go to field training.The Air Force ROTC Alumni Association Scholarship is for is for rising sophomore students at the University of Colorado Boulder who are Detachment 105 cadets who are not on USAF scholarship. Students applying for this scholarship should have a minimum 2.5 GPA and be in AS200 (traditionally sophomore year) before they go to field training. ,False,$5000.00 ,03/15/2024
Albert A. Bartlett Award in Physics ,https://colorado.academicworks.com/opportunities/22136 ,College of Arts & Sciences, The Albert A. Bartlett Award is awarded to students in the Department of Physics who meet the following criteria:  Enrolled as a full-time undergraduate or graduate student with a major in Physics or Engineering Physics. Must also be enrolled in a certification program to teach high school physics such as the CU Teach program or other teacher certification programs through the School of Education. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline.  It is the donor’s preference that applicants demonstrate a commitment to education public service and an interest in the intersection of science and societal needs.The Albert A. Bartlett Award is awarded to students in the Department of Physics who meet the following criteria: Enrolled as a full-time undergraduate or graduate student with a major in Physics or Engineering Physics. Must also be enrolled in a certification program to teach high school physics such as the CU Teach program or other teacher certification programs through the School of Education. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline. It is the donor’s preference that applicants demonstrate a commitment to education public service and an interest in the intersection of science and societal needs. ,False,$1000-$5000 ,03/15/2024
Alice Marine Memorial Scholarship ,https://colorado.academicworks.com/opportunities/21431 ,School of Education, Alice died tragically before her 25th birthday. She loved people especially children traveled widely and valued diversity. This scholarship established in 2009 by William and Susan Marine is given in memory of their daughter and in recognition of the crucial role teachers play in educating the whole child. It will be awarded to a Colorado resident who has demonstrated both leadership and creativity. Eligible students must be a Master’s students in the School of Education whose goal is to be a classroom teacher. Special consideration will be given to students who wish to pursue their studies with an emphasis on social sciences.Alice died tragically before her 25th birthday. She loved people especially children traveled widely and valued diversity. This scholarship established in 2009 by William and Susan Marine is given in memory of their daughter and in recognition of the crucial role teachers play in educating the whole child. It will be awarded to a Colorado resident who has demonstrated both leadership and creativity. Eligible students must be a Master’s students in the School of Education whose goal is to be a classroom teacher. Special consideration will be given to students who wish to pursue their studies with an emphasis on social sciences. ,True,$2000.00 ,03/15/2024
Alice Okicich Massaro Scholarship ,https://colorado.academicworks.com/opportunities/22102 ,None, The Alice O. Massaro scholarship is awarded to a student from either Central High School or South High School in Pueblo Colorado with a minimum 3.0 GPA.  Priority is to an incoming freshman in the College of Arts and Sciences.  A student enrolled in the College of Engineering and Applied Science or the Graduate School may be considered.  Financial need may be considered and the scholarship is renewable for up to a total of eight semesters contingent on maintaining a minimum 3.0 GPA successfully completing a minimum of 12 credit hours per semester and remaining in the College of Arts and Sciences (or Engineering or Graduate School if applicable).The Alice O. Massaro scholarship is awarded to a student from either Central High School or South High School in Pueblo Colorado with a minimum 3.0 GPA.  Priority is to an incoming freshman in the College of Arts and Sciences.  A student enrolled in the College of Engineering and Applied Science or the Graduate School may be considered.  Financial need may be considered and the scholarship is renewable for up to a total of eight semesters contingent on maintaining a minimum 3.0 GPA successfully completing a minimum of 12 credit hours per semester and remaining in the College of Arts and Sciences (or Engineering or Graduate School if applicable). ,True,$1500.00 ,03/15/2024
